id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,puskesmas,jenis_kelamin,jumlah_kasus_tbc,satuan,tahun
64,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209020,Ciledug,32.09.02,CILEDUG,CILEDUG,WANITA,29,ORANG,2021
65,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209021,Pabuaran,32.09.33,PABUARAN,PABUARAN,WANITA,8,ORANG,2021
66,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209030,Losari,32.09.03,LOSARI,LOSARI,WANITA,11,ORANG,2021
67,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209030,Losari,32.09.03,LOSARI,ASTANALANGGAR,WANITA,13,ORANG,2021
68,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209031,Pabedilan,32.09.04,PABEDILAN,PABEDILAN,WANITA,10,ORANG,2021
69,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209031,Pabedilan,32.09.04,PABEDILAN,KALIMUKTI,WANITA,11,ORANG,2021
70,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209040,Babakan,32.09.05,BABAKAN,BABAKAN,WANITA,19,ORANG,2021
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209040,Babakan,32.09.05,BABAKAN,GEMBONGAN,WANITA,19,ORANG,2021
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209041,Gebang,32.09.30,GEBANG,GEBANG,WANITA,8,ORANG,2021
73,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209041,Gebang,32.09.30,GEBANG,KALIMARO,WANITA,6,ORANG,2021
74,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209050,Karangsembung,32.09.06,KARANGSEMBUNG,KARANGSEMBUNG,WANITA,19,ORANG,2021
75,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209051,Karangwareng,32.09.34,KARANGWARENG,KUBANGDELEG,WANITA,5,ORANG,2021
76,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209060,Lemahabang,32.09.07,LEMAHABANG,SINDANGLAUT,WANITA,21,ORANG,2021
77,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209061,Susukanlebak,32.09.08,SUSUKAN LEBAK,SUSUKANLEBAK,WANITA,26,ORANG,2021
78,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209070,Sedong,32.09.09,SEDONG,SEDONG,WANITA,39,ORANG,2021
79,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,Astanajapura,32.09.10,ASTANAJAPURA,ASTANAJAPURA,WANITA,34,ORANG,2021
80,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,Astanajapura,32.09.10,ASTANAJAPURA,SIDAMULYA,WANITA,21,ORANG,2021
81,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209081,Pangenan,32.09.11,PANGENAN,PANGENAN,WANITA,25,ORANG,2021
82,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,Mundu,32.09.12,MUNDU,MUNDU,WANITA,14,ORANG,2021
83,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,Mundu,32.09.12,MUNDU,PAMENGKANG,WANITA,10,ORANG,2021
84,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209100,Beber,32.09.13,BEBER,BEBER,WANITA,15,ORANG,2021
85,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,Greged,32.09.38,GREGED,KAMARANG,WANITA,11,ORANG,2021
86,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,Greged,32.09.38,GREGED,NANGGELA,WANITA,14,ORANG,2021
87,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,Talun,32.09.14,TALUN,TALUN,WANITA,7,ORANG,2021
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,Talun,32.09.14,TALUN,CIPERNA,WANITA,6,ORANG,2021
89,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,SUMBER,WANITA,1,ORANG,2021
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,WATUBELAH,WANITA,7,ORANG,2021
91,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,SENDANG,WANITA,3,ORANG,2021
92,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209121,Dukupuntang,32.09.16,DUKUPUNTANG,DUKUPUNTANG,WANITA,5,ORANG,2021
93,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209121,Dukupuntang,32.09.16,DUKUPUNTANG,SINDANGJAWA,WANITA,2,ORANG,2021
94,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209130,Palimanan,32.09.17,PALIMANAN,PALIMANAN,WANITA,6,ORANG,2021
95,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209130,Palimanan,32.09.17,PALIMANAN,KEPUH,WANITA,3,ORANG,2021
96,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,Plumbon,32.09.18,PLUMBON,PLUMBON,WANITA,31,ORANG,2021
97,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,Plumbon,32.09.18,PLUMBON,LURAH,WANITA,4,ORANG,2021
98,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209141,Depok,32.09.31,DEPOK,WARUROYOM,WANITA,10,ORANG,2021
99,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209150,Weru,32.09.19,WERU,KARANGSARI,WANITA,13,ORANG,2021
100,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,Plered,32.09.36,PLERED,PLERED,WANITA,18,ORANG,2021
101,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,Plered,32.09.36,PLERED,PANGKALAN,WANITA,9,ORANG,2021
102,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209161,Tengah Tani,32.09.35,TENGAH TANI,TENGAHTANI,WANITA,13,ORANG,2021
103,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209162,Kedawung,32.09.20,KEDAWUNG,KEDAWUNG,WANITA,6,ORANG,2021
104,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,Gunungjati,32.09.21,GUNUNG JATI,GUNUNGJATI,WANITA,7,ORANG,2021
105,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,Gunungjati,32.09.21,GUNUNG JATI,MAYUNG,WANITA,6,ORANG,2021
106,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209180,Kapetakan,32.09.22,KAPETAKAN,KEDATON,WANITA,11,ORANG,2021
107,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209181,Suranenggala,32.09.39,SURANENGGALA,SURANENGGALA,WANITA,32,ORANG,2021
108,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,Klangenan,32.09.23,KLANGENAN,KLANGENAN,WANITA,18,ORANG,2021
109,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,Klangenan,32.09.23,KLANGENAN,BANGODUA,WANITA,12,ORANG,2021
110,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209191,Jamblang,32.09.40,JAMBLANG,JAMBLANG,WANITA,11,ORANG,2021
111,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209200,Arjawinangun,32.09.24,ARJAWINANGUN,TEGAL GUBUG,WANITA,21,ORANG,2021
112,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209201,Panguragan,32.09.25,PANGURAGAN,PANGURAGAN,WANITA,11,ORANG,2021
113,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209210,Ciwaringin,32.09.26,CIWARINGIN,CIWARINGIN,WANITA,5,ORANG,2021
114,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,Gempol,32.09.37,GEMPOL,WINONG,WANITA,1,ORANG,2021
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,Gempol,32.09.37,GEMPOL,GEMPOL,WANITA,2,ORANG,2021
116,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,Susukan,32.09.27,SUSUKAN,SUSUKAN,WANITA,13,ORANG,2021
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,Susukan,32.09.27,SUSUKAN,BUNDER,WANITA,7,ORANG,2021
118,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,Gegesik,32.09.28,GEGESIK,GEGESIK,WANITA,10,ORANG,2021
119,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,Gegesik,32.09.28,GEGESIK,JAGAPURA,WANITA,16,ORANG,2021
120,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209231,Kaliwedi,32.09.29,KALIWEDI,KALIWEDI,WANITA,6,ORANG,2021
121,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,Waled,32.09.01,WALED,WALED,PRIA,24,ORANG,2022
122,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,Waled,32.09.01,WALED,CIBOGO,PRIA,19,ORANG,2022
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209011,Pasaleman,32.09.32,PASALEMAN,PASALEMAN,PRIA,22,ORANG,2022
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209020,Ciledug,32.09.02,CILEDUG,CILEDUG,PRIA,62,ORANG,2022
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209021,Pabuaran,32.09.33,PABUARAN,PABUARAN,PRIA,16,ORANG,2022
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209030,Losari,32.09.03,LOSARI,LOSARI,PRIA,44,ORANG,2022
127,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209030,Losari,32.09.03,LOSARI,ASTANALANGGAR,PRIA,21,ORANG,2022
128,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209031,Pabedilan,32.09.04,PABEDILAN,PABEDILAN,PRIA,12,ORANG,2022
129,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209031,Pabedilan,32.09.04,PABEDILAN,KALIMUKTI,PRIA,17,ORANG,2022
130,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209040,Babakan,32.09.05,BABAKAN,BABAKAN,PRIA,40,ORANG,2022
131,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209040,Babakan,32.09.05,BABAKAN,GEMBONGAN,PRIA,17,ORANG,2022
132,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209041,Gebang,32.09.30,GEBANG,GEBANG,PRIA,15,ORANG,2022
133,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209041,Gebang,32.09.30,GEBANG,KALIMARO,PRIA,13,ORANG,2022
